epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,8605.72,0.22743,0.43283,0.84055,0.09389,0.08543,0.03497,0.0069,4.40465,2.79657,6.76678,0.00494374,0.00494374,0.00494374
70,8730.67,0.23136,0.43873,0.84342,0.06237,0.05368,0.01991,0.00431,4.66434,3.29189,6.58472,0.00494208,0.00494208,0.00494208
71,8855.81,0.22668,0.42995,0.84095,0.06908,0.05894,0.02283,0.00464,4.58258,2.98045,6.55572,0.00494039,0.00494039,0.00494039
72,8980.82,0.22774,0.43251,0.84082,0.05406,0.04823,0.01719,0.00424,4.75577,3.23268,6.66876,0.00493869,0.00493869,0.00493869
73,9105.81,0.2284,0.43313,0.84241,0.04313,0.04198,0.015,0.00396,4.82629,3.57806,6.86776,0.00493695,0.00493695,0.00493695
74,9230.85,0.22942,0.43445,0.84154,0.04343,0.04296,0.01372,0.00366,4.83872,3.63945,6.88961,0.0049352,0.0049352,0.0049352
75,9355.97,0.22549,0.42546,0.83957,0.05039,0.03842,0.01427,0.00345,4.79532,3.52965,6.82531,0.00493342,0.00493342,0.00493342
76,9481.04,0.22612,0.43271,0.84015,0.05136,0.04555,0.0174,0.00386,4.76792,3.53507,6.80801,0.00493162,0.00493162,0.00493162
77,9606.04,0.22709,0.43402,0.83986,0.05107,0.04555,0.01547,0.00336,4.73463,3.47542,6.8357,0.00492979,0.00492979,0.00492979
78,9729.84,0.22689,0.43265,0.84105,0.0398,0.03671,0.01081,0.00274,4.78027,3.64313,6.94857,0.00492794,0.00492794,0.00492794
79,9854.63,0.22641,0.42814,0.84041,0.0463,0.04296,0.01335,0.00306,4.81262,3.53243,7.02016,0.00492606,0.00492606,0.00492606
80,9979.71,0.22615,0.42854,0.84006,0.04895,0.04256,0.0129,0.00333,4.77258,3.52033,6.84633,0.00492417,0.00492417,0.00492417
81,10104.8,0.22246,0.42524,0.839,0.05086,0.04653,0.01274,0.0031,4.73497,3.36205,6.78318,0.00492224,0.00492224,0.00492224
82,10229.8,0.22499,0.43215,0.83987,0.04794,0.04653,0.01383,0.00371,4.69384,3.41922,6.65998,0.0049203,0.0049203,0.0049203
